img_caratula,titulo,categoria_str,precio_intercambio,precio_compra,categoria_id,sku,precio_venta
/product_images/Juegos/DS Juegos/5060102951735_s.jpg,Jewel Master: Cradle of Rome,Nintendo DS,1.90,1.20,834,5060102951735,5.00
/product_images/Juegos/DS Juegos/5060102951858_s.jpg,Colour Cross,Nintendo DS,3.00,2.00,834,5060102951858,6.00
/product_images/Juegos/DS Juegos/5060102951919_s.jpg,Avalon Code,Nintendo DS,22.00,15.00,834,5060102951919,35.00
/product_images/Juegos/DS Juegos/5060102952015_s.jpg,Luminous Arc 2,Nintendo DS,7.00,5.00,834,5060102952015,12.00
/product_images/Juegos/DS Juegos/5060102952541_s.jpg,Harvest Moon: Sunshine Island,Nintendo DS,17.00,12.00,834,5060102952541,28.00
/product_images/Juegos/DS Juegos/5060102952602_s.jpg,Pucca Power Up,Nintendo DS,3.00,2.00,834,5060102952602,6.00
/product_images/Juegos/DS Juegos/5060102952695_s.jpg,Hello Kitty & Friends Loving Life,Nintendo DS,0.30,0.10,834,5060102952695,1.00
/product_images/Juegos/DS Juegos/5060102952732_s.jpg,Cradle of Rome / Cradle of Egypt Double Pack,Nintendo DS,7.00,5.00,834,5060102952732,12.00
/product_images/Juegos/DS Juegos/5060102952756_s.jpg,Jewel Legends: Tree Of Life,Nintendo DS,4.00,3.00,834,5060102952756,7.00
/product_images/Juegos/DS Juegos/5060102952893_s.jpg,Cradle of Rome 2,Nintendo DS,11.00,8.00,834,5060102952893,18.00
/product_images/Juegos/DS Juegos/5060102953180_s.jpg,Jewel Master- Cradle of Persia,Nintendo DS,4.00,3.00,834,5060102953180,7.00
/product_images/Juegos/DS Juegos/5060112430749_s.jpg,Captain Morgane and the Golden Turtle,Nintendo DS,5.00,3.00,834,5060112430749,8.00
/product_images/Juegos/DS Juegos/5060112740374_s.jpg,Scurge Hive,Nintendo DS,1.30,0.80,834,5060112740374,3.50
/product_images/Juegos/DS Juegos/5060112741425_s.jpg,Ninja Town,Nintendo DS,0.40,0.20,834,5060112741425,1.50
/product_images/Juegos/DS Juegos/5060112741609_s.jpg,Big Bang Mini,Nintendo DS,0.90,0.60,834,5060112741609,2.50
/product_images/Juegos/DS Juegos/5060112742187_s.jpg,Mushroom Men,Nintendo DS,1.90,1.20,834,5060112742187,5.00
/product_images/Juegos/PC Juegos/5035223111092_s.jpg,Los Sims 4 (P),PC,14.00,8.00,830,5035223111092,40.00
/product_images/Juegos/PC Juegos/8423817606456_s.jpg,Trackmania Sunrise Extreme,PC,0.20,0.10,830,8423817606456,0.75
/product_images/Juegos/PC Juegos/093155148246_s.jpg,"Evil Within, The (P)",PC,2.00,1.60,830,093155148246,7.00
/product_images/Juegos/DS Juegos/5060118410080_s.jpg,Indoor Sports Club,Nintendo DS,1.50,0.90,834,5060118410080,4.00
/product_images/Juegos/DS Juegos/5060118410103_s.jpg,Prof Brainmaniac,Nintendo DS,1.50,0.90,834,5060118410103,4.00
/product_images/Juegos/DS Juegos/5060118410431_s.jpg,Have Fun With Crosswords,Nintendo DS,1.50,0.90,834,5060118410431,4.00
/product_images/Juegos/PC Juegos/5030917019920_s.jpg,X-men 2 La Venganza de Lobezno,PC,0.10,0.01,830,5030917019920,0.50
/product_images/Juegos/PC Juegos/5030079001764_s.jpg,Myst,PC,0.90,0.40,830,5030079001764,3.00
/product_images/Juegos/PC Juegos/4017244017349_s.jpg,Red Ocean,PC,1.00,0.50,830,4017244017349,3.50
/product_images/Juegos/PC Juegos/8023171015309_s.jpg,Cryostasis,PC,0.90,0.40,830,8023171015309,3.00
/product_images/Juegos/PC Juegos/5024866348750_s.jpg,F1 2012 (P),PC,1.00,0.50,830,5024866348750,3.50
/product_images/Juegos/PC Juegos/5021290035638_s.jpg,Tomb Raider: Underworld,PC,1.30,0.60,830,5021290035638,4.50
/product_images/Juegos/PC Juegos/4005209099424_s.jpg,Company of Heroes: Opposing Fronts,PC,1.50,0.70,830,4005209099424,5.00
/product_images/Juegos/PC Juegos/3512899111127_s.jpg,Pro Cycling Manager 2013,PC,0.70,0.30,830,3512899111127,2.50
/product_images/Juegos/PC Juegos/8431474060818_s.jpg,BMT2 Truck Me Harder,PC,0.40,0.20,830,8431474060818,1.50
/product_images/Juegos/PC Juegos/5060146461719_s.jpg,Walking Dead: Telltale Games Series 2,PC,2.00,1.20,830,5060146461719,6.00
/product_images/Juegos/PC Juegos/5055856406532_s.jpg,Fallout 4 (P),PC,10.00,5.00,830,5055856406532,28.00
/product_images/Juegos/PC Juegos/5906961198938_s.jpg,Terrorist Takedown Conflict in Mogadishu,PC,0.01,0.01,830,5906961198938,0.10
/product_images/Juegos/PC Juegos/07210231284_s.jpg,Heroes Of Might & Magic V Hammer Of Fate,PC,0.60,0.30,830,07210231284,2.00
