sku,categoria_id,precio_venta,precio_intercambio,categoria_str,titulo,img_caratula,precio_compra
5035228112377,827,12.00,7.00,Xbox 360,FIFA 15,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,5.00
5030938112877,827,22.00,8.00,Xbox 360,FIFA 16,/product_images/Juegos/Xbox 360 Juegos/5030938112877_s.jpg,5.00
3307215633342,827,8.00,5.00,Xbox 360,Far Cry 3,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,3.00
0885370309607,827,6.00,3.00,Xbox 360,Gears of War 3,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,2.00
5030949111104,827,6.00,3.00,Xbox 360,FIFA 14,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,2.00
093155141445,827,10.00,6.00,Xbox 360,Elder Scrolls V: Skyrim,/product_images/Juegos/Xbox 360 Juegos/093155141445_s.jpg,4.00
882224721141,827,4.00,1.50,Xbox 360,Gears of War 2,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,0.90
5055060963852,827,8.00,5.00,Xbox 360,Resident Evil 6 *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,3.00
5030917147791,1002,12.00,7.00,Xbox One,Call Of Duty: Advanced Warfare,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,5.00
885370662221,1002,18.00,11.00,Xbox One,Ryse: Son Of Rome,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,8.00
5026555284127,1002,38.00,24.00,Xbox One,Grand Theft Auto V (5),/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,17.00
0889842121575,1002,30.00,18.00,Xbox One,Gears of War 4,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,13.00
5030941116398,1002,62.00,45.00,Xbox One,Mass Effect: Andrómeda (Sin DLC),/product_images/Juegos/Xbox One Juegos/5030941116398_s.jpg,39.00
5030917181863,1002,30.00,18.00,Xbox One,Call Of Duty: Black Ops III,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,13.00
5030948112881,1002,8.00,5.00,Xbox One,FIFA 16,/product_images/Juegos/Xbox One Juegos/5030948112881_s.jpg,3.00
5030947121631,1002,18.00,11.00,Xbox One,Star Wars: Battlefront,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,8.00
3307215805336,1002,15.00,9.00,Xbox One,Assassin's Creed: Unity,/product_images/Juegos/Xbox One Juegos/3307215805336_s.jpg,6.00
5026555297356,1002,25.00,15.00,Xbox One,Mafia III,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,11.00
885370662023,1002,12.00,7.00,Xbox One,Forza Motorsport 5,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,5.00
5055856406396,1002,25.00,15.00,Xbox One,Fallout 4,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,11.00
5030917124358,1002,8.00,5.00,Xbox One,Destiny,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,3.00
85370663983,1002,15.00,9.00,Xbox One,Dead Rising 3,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,6.00
5030937116425,1002,42.00,26.00,Xbox One,FIFA 17,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,18.00
3307215804445,1001,18.00,6.00,PlayStation 4,"Division, The",/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,4.00
5030934121637,1001,18.00,11.00,PlayStation 4,Star Wars: Battlefront,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,8.00
3307215913024,1001,55.00,34.00,PlayStation 4,Ghost Recon: Wildlands (Sin DLC),/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,24.00
4012927100417,1001,15.00,9.00,PlayStation 4,Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,6.00
711719407515,1001,32.00,20.00,PlayStation 4,"Last of Us, The - Remastered",/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,14.00
711719277071,1001,15.00,9.00,PlayStation 4,DriveClub,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,6.00
3307215889121,1001,35.00,22.00,PlayStation 4,Rainbow Six: Siege,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,15.00
3307215914946,1001,48.00,30.00,PlayStation 4,For Honor (No DLC),/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,21.00
5030941116350,1001,62.00,45.00,PlayStation 4,Mass Effect: Andrómeda (Sin DLC),/product_images/Juegos/PS4 Juegos/5030941116350_s.jpg,39.00
5055856406242,1001,22.00,13.00,PlayStation 4,Fallout 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,9.00
5030917124549,1001,10.00,3.00,PlayStation 4,Destiny,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,2.00
5030917148019,1001,22.00,8.00,PlayStation 4,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,5.00
3307215732939,1001,12.00,4.00,PlayStation 4,Watch Dogs,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,2.00
3307215793633,1001,18.00,6.00,PlayStation 4,Far Cry 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,4.00
3391891979016,1001,30.00,18.00,PlayStation 4,Witcher 3: Wild Hunt,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,13.00
5051893179637,1001,20.00,12.00,PlayStation 4,Batman: Arkham Knight,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,9.00
5035223113737,1001,28.00,17.00,PlayStation 4,Need For Speed (2015),/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,12.00
711719866534,1001,35.00,22.00,PlayStation 4,Uncharted: The Nathan Drake Collection,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,15.00
5030947112387,1001,5.00,1.50,PlayStation 4,FIFA 15,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,0.70
711719439912,1001,30.00,18.00,PlayStation 4,Minecraft,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,13.00
5030932116925,1001,28.00,17.00,PlayStation 4,Titanfall 2,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,12.00
711719838951,1001,32.00,20.00,PlayStation 4,"Last Guardian, The",/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,14.00
711719848233,1001,25.00,15.00,PlayStation 4,Ratchet & Clank (2016),/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,11.00
5055856403418,1001,18.00,11.00,PlayStation 4,Doom (2016),/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,8.00
711719843337,1001,22.00,13.00,PlayStation 4,God of War 3 - Remasterizado,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,9.00
4012927102336,1001,38.00,24.00,PlayStation 4,Pro Evolution Soccer 2017,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,17.00
093155149007,1001,15.00,9.00,PlayStation 4,"Evil Within, The",/product_images/Juegos/PS4 Juegos/093155149007_s.jpg,6.00
5055856410706,1001,25.00,15.00,PlayStation 4,Dishonored 2 (Sin DLC),/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,11.00
5030917188893,1001,45.00,28.00,PlayStation 4,Overwatch,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,20.00
5030936111346,1001,15.00,5.00,PlayStation 4,Battlefield 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,3.00
3307215977453,1001,25.00,15.00,PlayStation 4,Assassin's Creed: The Ezio Collection,/product_images/Juegos/PS4 Juegos/3307215977453_s.jpg,11.00
3307215715239,1001,18.00,11.00,PlayStation 4,Assassin's Creed 4: Black Flag,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,8.00
3391891987332,1001,38.00,24.00,PlayStation 4,Dark Souls III,/product_images/Juegos/PS4 Juegos/3391891987332_s.jpg,17.00
8023171037745,1001,35.00,22.00,PlayStation 4,Rocket League,/product_images/Juegos/PS4 Juegos/8023171037745_s.jpg,15.00
