sku,precio_compra,titulo,categoria_id,precio_intercambio,categoria_str,precio_venta,img_caratula
5030917124549,2.00,Destiny,1001,4.00,PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg
711719439912,13.00,Minecraft,1001,18.00,PlayStation 4,30.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg
711719866534,15.00,Uncharted: The Nathan Drake Collection,1001,22.00,PlayStation 4,35.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg
4012927102336,18.00,Pro Evolution Soccer 2017,1001,25.00,PlayStation 4,40.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg
5030947112387,0.70,FIFA 15,1001,1.50,PlayStation 4,5.00,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg
5055856403418,8.00,Doom (2016),1001,11.00,PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg
711719874737,11.00,Until Dawn,1001,15.00,PlayStation 4,25.00,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg
3307215715239,9.00,Assassin's Creed 4: Black Flag,1001,12.00,PlayStation 4,20.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg
3307215977453,12.00,Assassin's Creed: The Ezio Collection,1001,17.00,PlayStation 4,28.00,/product_images/Juegos/PS4 Juegos/3307215977453_s.jpg
5021290075924,22.00,Hitman: Primera Temporada Completa (Sin DLC),1001,31.00,PlayStation 4,50.00,/product_images/Juegos/PS4 Juegos/5021290075924_s.jpg
5035223113737,13.00,Need For Speed (2015),1001,18.00,PlayStation 4,30.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg
711719817963,33.00,Nioh,1001,40.00,PlayStation 4,60.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg
5051893165128,12.00,"Tierra-Media, La: Sombras De Mordor",1001,17.00,PlayStation 4,28.00,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg
711719277071,9.00,DriveClub,1001,12.00,PlayStation 4,20.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg
711719275473,2.00,Killzone: Shadow Fall,1001,4.00,PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg
3391891980685,12.00,Dragon Ball: Xenoverse,1001,17.00,PlayStation 4,28.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg
5030936111346,4.00,Battlefield 4,1001,6.00,PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg
5026555421256,3.00,NBA 2K16,1001,5.00,PlayStation 4,15.00,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg
5026555422079,20.00,NBA 2K17,1001,28.00,PlayStation 4,45.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg
711719843337,11.00,God of War 3 - Remasterizado,1001,15.00,PlayStation 4,25.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg
