categoria_id,precio_venta,categoria_str,precio_intercambio,precio_compra,titulo,sku,img_caratula
821,22.00,PlayStation 3,13.00,9.00,Disney Infinity 2.0 Toy Box Combo Starter Pack,8717418444877,/product_images/Juegos/PS3 Juegos/8717418444877_s.jpg
821,25.00,PlayStation 3,15.00,11.00,Fairytale Fights (Ed.Collecionista ),8717545402566,/product_images/Juegos/PS3 Juegos/8717545402566_s.jpg
821,12.00,PlayStation 3,7.00,5.00,Ferrari Challenge - Bundle (Juego + Volante),8718591181085,/product_images/Juegos/PS3 Juegos/8718591181085_s.jpg
821,12.00,PlayStation 3,7.00,5.00,Blazblue: Chrono Phantasma,893610001785,/product_images/Juegos/PS3 Juegos/893610001785_s.jpg
821,10.00,PlayStation 3,6.00,4.00,Gothic 4: Arcania Tale Complete Edition,9006113002437,/product_images/Juegos/PS3 Juegos/9006113002437_s.jpg
821,8.00,PlayStation 3,5.00,3.00,Red Faction Collection,9006113006695,/product_images/Juegos/PS3 Juegos/9006113006695_s.jpg
821,20.00,PlayStation 3,12.00,9.00,Darksiders Collection,9006113007067,/product_images/Juegos/PS3 Juegos/9006113007067_s.jpg
821,5.00,PlayStation 3,3.00,2.00,Rugby League Live,9312590123375,/product_images/Juegos/PS3 Juegos/9312590123375_s.jpg
821,8.00,PlayStation 3,5.00,3.00,Jonah Lomu Rugby Challenge,9312590123474,/product_images/Juegos/PS3 Juegos/9312590123474_s.jpg
821,15.00,PlayStation 3,9.00,6.00,Rugby League Live 2,9312590123641,/product_images/Juegos/PS3 Juegos/9312590123641_s.jpg
821,6.00,PlayStation 3,3.00,2.00,AFL live 2,9312590123726,/product_images/defimg4_s.jpg
821,5.00,PlayStation 3,3.00,2.00,Don Bradman Cricket 14,9312590123818,/product_images/Juegos/PS3 Juegos/9312590123818_s.jpg
821,25.00,PlayStation 3,15.00,11.00,Rugby Challenge 3,9312590124075,/product_images/defimg1_s.jpg
821,3.00,PlayStation 3,-1,-1,Start The Party Empieza La Fiesta,9789507426681,/product_images/Juegos/PS3 Juegos/9789507426681_s.jpg
821,12.00,PlayStation 3,7.00,5.00,Adventures of Tintin - The Game,8888346647,/product_images/Juegos/PS3 Juegos/008888346647_s.jpg
821,15.00,PlayStation 3,9.00,6.00,Assassin's Creed Ezio Trilogy,8888347910,/product_images/Juegos/PS3 Juegos/008888347910_s.jpg
821,12.00,PlayStation 3,-1,-1,"Incredible Hulk, The",10086690149,/product_images/Juegos/PS3 Juegos/010086690149_s.jpg
821,25.00,PlayStation 3,15.00,11.00,Sonic Ultimate Genesis Collection,10086690279,/product_images/Juegos/PS3 Juegos/010086690279_s.jpg
821,7.00,PlayStation 3,4.00,3.00,NCAA Football 08,14633154276,/product_images/Juegos/PS3 Juegos/014633154276_s.jpg
821,2.00,PlayStation 3,0.70,0.40,NCAA Football 09,14633154610,/product_images/Juegos/PS3 Juegos/014633154610_s.jpg
821,5.00,PlayStation 3,1.90,1.20,NCAA Football 10,14633190168,/product_images/Juegos/PS3 Juegos/014633190168_s.jpg
821,2.00,PlayStation 3,0.70,0.40,NCAA Football 11,14633193589,/product_images/Juegos/PS3 Juegos/014633193589_s.jpg
821,2.00,PlayStation 3,0.70,0.40,NCAA Football 12,14633195361,/product_images/Juegos/PS3 Juegos/014633195361_s.jpg
821,6.00,PlayStation 3,3.00,2.00,NCAA Football 2013,14633197310,/product_images/Juegos/PS3 Juegos/014633197310_s.jpg
821,4.00,PlayStation 3,1.50,0.90,NHL 09,14633357240,/product_images/Juegos/PS3 Juegos/014633357240_s.jpg
821,8.00,PlayStation 3,5.00,3.00,NCAA Football 14,14633730074,/product_images/Juegos/PS3 Juegos/014633730074_s.jpg
821,10.00,PlayStation 3,-1,-1,Star Wars Force Unleashed*Adjust*,23272005610,/product_images/Juegos/PS3 Juegos/023272005610_s.jpg
821,15.00,PlayStation 3,-1,-1,Lego Indiana Jones: Original Adventures *Use 023272006006*,23272006655,/product_images/Juegos/PS3 Juegos/023272006655_s.jpg
821,25.00,PlayStation 3,15.00,11.00,"Star Wars Poder De La Fuerza II, (P) EC",23272010546,/product_images/Juegos/PS3 Juegos/023272010546_s.jpg
821,5.00,PlayStation 3,3.00,2.00,NBA Ballers Chose One,31719269884,/product_images/defimg2_s.jpg
821,7.00,PlayStation 3,4.00,3.00,Stranglehold Edicion Especial,31719900916,/product_images/Juegos/PS3 Juegos/031719900916_s.jpg
821,12.00,PlayStation 3,7.00,5.00,Cabela's Big Game Hunter 2010,47875759251,/product_images/Juegos/PS3 Juegos/047875759251_s.jpg
821,22.00,PlayStation 3,13.00,9.00,Nascar 2011 : The Game,47875765337,/product_images/Juegos/PS3 Juegos/047875765337_s.jpg
821,22.00,PlayStation 3,13.00,9.00,Nascar Unleashed,47875766426,/product_images/Juegos/PS3 Juegos/047875766426_s.jpg
821,12.00,PlayStation 3,7.00,5.00,Call Of Duty Black OPS I & II,47875874367,/product_images/Juegos/PS3 Juegos/047875874367_s.jpg
821,22.00,PlayStation 3,13.00,9.00,Lucha Libre Heroes Del Ring,83717201984,/product_images/Juegos/PS3 Juegos/083717201984_s.jpg
821,30.00,PlayStation 3,18.00,13.00,Fallout New Vegas EC,93155140073,/product_images/Juegos/PS3 Juegos/093155140073_s.jpg
821,4.00,PlayStation 3,1.50,0.90,"CSI, Fatal Conspriacy",3207217217935628,/product_images/Juegos/PS3 Juegos/3207217217935628_s.jpg
821,12.00,PlayStation 3,7.00,5.00,Naruto Ultimate Ninja Storm (Ed. Col.),3296580806539,/product_images/Juegos/PS3 Juegos/3296580806539_s.jpg
821,18.00,PlayStation 3,11.00,8.00,Katamari Forever,3296580810161,/product_images/Juegos/PS3 Juegos/3296580810161_s.jpg
821,20.00,PlayStation 3,12.00,9.00,Tekken 6 (Ed. Lim. + Sudadera),3296580810802,/product_images/Juegos/PS3 Juegos/3296580810802_s.jpg
821,10.00,PlayStation 3,6.00,4.00,Dragonball Raging Blast Limited Edition,3296580810994,/product_images/Juegos/PS3 Juegos/3296580810994_s.jpg
827,3.50,Xbox 360,1.30,0.80,Fuerza de Defensa Terrestre 2017,5060125481455,/product_images/Juegos/Xbox 360 Juegos/5060125481455_s.jpg
